id,title,price,location,size,bedrooms,bathrooms
4109775,شقة تمليك بالعجمى شارع مسجد القويرى,"300,000",44 شارع مسجد السلام متفرع من شارع مسجد القويرى - الدرايسة - البيطاش - العجمى,95 متر²,2,1
4096752,روف 200 متر² للبيع فى أبو يوسف,"1,150,000",أبو يوسف، العجمي,200 متر²,label.rooms.plus10,1
4107871,شقة بأبو يوسف - شاطئ السلام ترى البحر جاهزة للسكن,"230,000",70 السلام  ابو يوسف - العجمى - الاسكندرية,85 متر²,2,1
4101685,الاسكندريه العجمي الكيلو 21 امام مدخل اكتوبر,"200,000",العجمي القبلية، العجمي,75 متر²,2,1
4095215,شقة في شارع بنزينة السلام,"285,000",شارع بنزينة السلام,70 متر²,2,1
4088247,شقة 4 غرف للبيع بالعجمي الأسكندرية,"870,000",شارع أولاد منصور (الشهير بشارع الطلخاوي) أمام المدرسة الابتدائية البيطاش - العجمي الأسكندرية,150 متر²,4,1
4080402,شقة لقطة سكنية و مصيفية على المفتاح قريبة من البحر,"650,000",كمبوند سيانو سيتي - جاردينيا ايجيبت، كمبوند بالعجمي,90 متر²,2,1
3910394,للبيع شقه بشاطئ النخيل 150متر بعمائر القوات المسلحة,"410,000",شقه بشاطئ النخيل الاسكندرية 150متر  بعمائر القوات المسلحة 2نوم 2حمام,150 متر²,2,2
3910391,للبيع شقه120متر بشاطئ النخيل الاسكندرية بجوار شركة الكهرباء  بسعر مناسب للجميع,"290,000",للبيع شقه بشاطئ النخيل 120متر بجوار شركه الكهرباء,120 متر²,2,1
3876772,للبيع شقه في قلب الخدمات كاش وقسط بشاطئ النخيل الاسكندرية الكيلو 21,"375,000",شارع رقم 8، شاطئ النخيل - ٦ اكتوبر,90 متر²,2,1
3886798,شـالــيـة مميز للـبيـع 3 نــوم بـشـاطئ الـنـخيـل,"400,000",ـشـاطئ الـنـخيـل,150 متر²,3,1
4105912,للبيع - شقق سوبر لوكس فى شارع رقم 10,"420,000",اكتوبر النخيل,110 متر²,2,1
3839008,روف دوبلكس 5غرف نوم و2حمام و2مطبخ  ورسبشن حرف L سلم داخلي تقسيط سنتين,"700,000",شارع رقم 25، شاطئ النخيل - ٦ اكتوبر,300 متر²,1,1
3834855,شقة بشاطئ النخيل بتبص على حمامات سباحه 3غرف على شارع 10,"440,000",بشاطئ النخيل موقع ممتاز على شارع 10,120 متر²,3,1
3832861,شقة للبيع 3 غرف نوم 2 حمام تقسيط علي سنتين بشاطئ النخيل,"550,000",6 اكتوبر,165 متر²,3,2
3842153,شقة تحفة للبيع 2 غرفة نوم تاني عمارة من البحر بشاطئ النخيل,"440,000",شارع رقم 23، شاطئ النخيل - ٦ اكتوبر,120 متر²,1,1
3881503,للبيع اشتري فيلا دوبلكس مكونه من ثلاث حجرات اثنين حمام قريبه جدا من الشارع الرئيسي وترى البحر بوضوح كما يوجد لدينا وحدات اخرى تق,"430,000",شارع رقم 10، شاطئ النخيل - ٦ اكتوبر,220 متر²,3,2
3881448,اشتري للبيع شقه بالدور الخامس علوي ويوجد اسانسير بالاسكندريه الكيلو 21 مدينه 6 اكتوبر قريه شاطئ النخيل قريبه من البحر امام منتجع,"360,000",شارع رقم 10، شاطئ النخيل - ٦ اكتوبر,140 متر²,2,1
4068887,للبيع شقة بالعجمي 75 م متشطبة ب 230 الف,"230,000",ش الاسلام متفرع من ش عبد الفتاح الطلخاوي العجمي,75 متر²,2,1
4036641,الأسكندرية العجمى الكيلو 21,"680,000",العجمى اول طريق الساحل الشمالى قرية القوات المسلحة,165 متر²,2,1
3834876,شقة للبيع 2 غرفة نوم بمنتجع هوليداي بشاطئ النخيل,"620,000",بمنتجع هوليداي بشاطئ النخيل,100 متر²,2,1
3834870,شقه للبيع بشاطئ النخيل داخل منتجع ب270الف,"270,000",بشاطئ النخيل داخل منتجع بشاطئ النخيل بسعر مغري,90 متر²,2,1
4075770,شقه للتمليك بالمربع الذهبي بالبيطاش 135 متر,"980,000",2 شارع الشهيد عصام عبد الحميد موازي لشارع مستشفى العوضي البيطاش,135 متر²,3,1
4059869,"شقه فى العجمى  النخيل 3غرف واجهه بحرى شرقى بجوار البحر والشارع التجارى المساحة 120متر الدور السابع للبيع 
شقة واجهه بحرى شرقى تش","475,000",شارع صلاح الدين، شاطئ النخيل - ٦ اكتوبر,120 متر²,3,1
4097103,بيع شفة سكنية تشطيب سوبر لوكس,"280,000",العجمي البحري، العجمي,110 متر²,1,1
4068100,فيك هلا تمتلك شقتك بالعجمي باقل الاسعار ع اطول فتره سداد ممكنة,"240,000",الاسكندريه العجمي النخيل,90 متر²,2,1
4023474,شقق للبيع فى شارع أكتوبر النخيل,"630,000",Octuber Al Nakhel St، Shatee El Nakheel,140 متر²,3,1
4068357,بيانكي العجمي,"1,000,000",بيانكي العجمي,50 متر²,2,1
4024776,شقه الترا الترا لوكس,"650,000",ابو يوسف شارع ابو يوسف الجديد الروضه الخضرا اول الشارع مدرسه الاورمان الفندقيه,125 متر²,3,1
3898820,شقه في المكس علي الشارع المكس الرئيسي خلف مطعم زفير امام اسكندريه للبترول,"600,000",العجمي البحري، العجمي,120 متر²,3,1
3949366,من المالك مباشر ،،للبيع ، شقة دور سادس وسابع روف داخل الشقة  دوبلكس,"650,000",163,110 متر²,2,2
4022355,شقه 110م تقريبا متشطبه بالاسكندريه العجمي ابو يوسف شارع الحديد والصلب للبيع,"410,000",الاسكندريه العجمي ابو يوسف شارع الحديد والصلب,110 متر²,2,1
4020918,رووف للبيع بشارع السلام الكيلو ٢١ العجمي,"550,000",العجمي البحري، العجمي,280 متر²,4,3
3987089,ڤيلا دوبليكس مستقلة رووعة للبيع كاش او تقسيط على 24 شهر للتواصل,"3,000,000",شارع رقم 6، شاطئ النخيل - ٦ اكتوبر,270 متر²,6,3
3898825,شقة في برج فاخر مطل على البحر,"1,300,000",العجمي البحري، العجمي,145 متر²,3,1
4037337,شقة فاخرة مكيفة سوبر لوكس بمنطقة ٦ اكتوبر النخيل خامس نمرة من البحر,"770,000",شارع رقم 10، شاطئ النخيل - ٦ اكتوبر,160 متر²,1,1
4012566,العجمي بيطاش شارع ١٩ -المتفرع من شارع ٨ العمارة رقم ١ أمام البحر..بجوار فيلا سلو,"850,000",العجمي بيطاش شارع ١٩ -المتفرع من شارع ٨ العمارة رقم ١ أمام البحر..بجوار فيلا سلو,100 متر²,2,1
3812610,شقة للبيع ممتازة فيو مفتوح,"250,000",العجمي البحري، العجمي,100 متر²,1,1
3873492,صيفك بالاسكندرية العجمي,"220,000",الكيلو 21 شارع اكتوبر النخيل,80 متر²,2,1
4044447,شقه للبيع بالقرب من شاطئ النخيل,"200,000",شارع أكتوبر النخيل، شاطئ النخيل - ٦ اكتوبر,90 متر²,3,1
3895617,شقة ٣ غرف و ٢ حمام ف الإسكندرية اكتوبر النخيل,"700,000",شارع أكتوبر النخيل، شاطئ النخيل - ٦ اكتوبر,130 متر²,3,2
3962697,شقه للبيع,"400,000",الاسكندريه العجمي شاطئ النخيل 6 اكتوبر شارع 8 مع 7,85 متر²,2,1
3937658,شقه الترا الترا لوكس,"650,000",ابو يوسف العجمي الاسكندريه,125 متر²,3,1
4023731,شقه للبيع في الاسكندريه النخيل,"330,000",شارع الياسمين، شاطئ النخيل - ٦ اكتوبر,80 متر²,2,1
3854560,قريه وادي النخيل شقة للبيع,"1,200,000",أبو يوسف، العجمي,150 متر²,2,2
3855085,شقة في اكتوبر النخيل اسكندرية علي الشارع الرئيسي 3 غرف 125م,"490,000",الاسكندرية اكتوبر النخيل,125 متر²,3,1
3962679,شقه تمليك للبيع,"380,000",الاسكندريه العجمي شاطئ النخيل,86 متر²,2,1
3871571,شقه 130 متر دور تانى بالتشطيب  بشاطئ النخيل اكتوبر كاش وتقسيط,"420,000",العجمى شاطئ النخيل,130 متر²,3,1
3899970,للبيع شقه بشاطيء النخيل 6 اكتوبر,"500,000",شاطيء النخيل,145 متر²,3,2
4071119,شقه للبيع بالعجمي,"280,000",أبو يوسف، العجمي,100 متر²,3,1
4078246,شقه 110م للبيع قبل مدرسة زهرة الأوائل الخاصه,"325,000",ش بدر قبل مدرسة زهرة الأوائل الخاصه,110 متر²,3,1
4060272,شقه للبيع خلف الروضه الخضراء,"300,000",العجمي شارع ابو يوسف خلف الروضه الخضرا برج ريحانه,95 متر²,2,2
4026014,برج جمانه - الدور العاشر - البيطاش امام عمر أفندي,"1,050,000",برج جمانه - الدور العاشر - البيطاش امام عمر أفندي,170 متر²,3,2
4009330,شقق للبيع فى شارع الدكتور رشا سويدان,"750,000",Dr Rashad Swedan St، El Bitash,110 متر²,3,2
4089622,شقة 85 متر تشطيب سوبر لوكس,"265,000",الهانوفيل,85 متر²,2,1
3943067,شقة للبيع عمارة تاج ماركت العجمى ابويوسف ٢١,"185,000",عمارة تاج ماركت أمام شارع التامين العجمى,90 متر²,2,1
3875482,شقة للبيع فيو بحر رائع بسعر مغري,"1,100,000",شارع رقم 5، البيطاش,200 متر²,1,1
3802993,شقه للبيع بابو يوسف العجمي,"230,000",ش السلام قبلي أمام بنزينة السلام,65 متر²,2,1
3930950,شارع محمد العجمى برج الرحمة عمارات الفردى,"290,000",العجمي البحري، العجمي,100 متر²,2,1
3902509,للبيع شقه بالروف بجوار فندق الدفاع الجوي بشاطئ النخيل الاسكندرية تشطيب ممتاز,"460,000","شارع رقم 6, شاطئ النخيل - ٦ اكتوبر",200 متر²,2,1
3988382,شقه مصيفيه  غرفتين وصاله70م ب210الف تقسيط علي 18شهر كامله المرافق جديده,"210,000",شاطي النخيل شارع 47 بين شارع12و14,70 متر²,2,1
3902461,للبيع شقه 120متر بشاطئ النخيل الاسكندرية تقسيط على سنتين,"450,000",النخيل,120 متر²,2,1
3876713,للبيع شقه 90متر بمدينة 6أكتوبر شاطئ النخيل الاسكندرية الكيلو 21في قلب الخدمات,"320,000",النخيل 6 اكتوبر,90 متر²,2,1
3933748,للبيع بشاطئ النخيل غرفه وصاله ڤيو بحر وحمام سباحة,"240,000",شارع رقم 7، شاطئ النخيل - ٦ اكتوبر,70 متر²,1,1
3842187,شقه للبيع بشاطئ النخيل الاسكندرية على شارع 10 تشطيب سوبر لوكس,"350,000","شارع رقم 10, شاطئ النخيل - ٦ اكتوبر",120 متر²,2,1
3842176,روف دوبلكس للبيع بشاطئ النخيل 3غرف نوم 2حمام  تقسيط,"430,000","شارع رقم 10, شاطئ النخيل - ٦ اكتوبر",180 متر²,3,2
3832923,شقة للبيع 2 غرفة نوم بشاطئ النخيل ناصية شارع 8,"300,000",النخيل 6 اكتوبر,100 متر²,2,1
3832903,شقه للبيع 2غرفة نوم بشاطئ النخيل علي شارع 10 قلب الخدمات,"350,000",النخيل 6 اكتوبر,100 متر²,2,1
3890913,شــقـة روعــه لــلـبـيـع 2 غرفة نوم بشاطئ النخيل,"335,000",النخيل,100 متر²,2,1
3882323,للبيع شقه على الشارع الرئيسي بشاطئ النخيل الاسكندرية الكيلو 21,"350,000",للبيع شقه بشاطئ النخيل الاسكندرية الكيلو 21 علي شارع رئيسي,90 متر²,2,1
3833008,شقه فى موقع ممتاز على شارع 10بتبص علي جنينه بشاطئ النخيل الاسكندرية,"350,000",النخيل,100 متر²,2,1
3832921,شقة للبيع بشاطئ النخيل الاسكندرية على شارع 10 بسعر مغري,"275,000",النخيل 6 اكتوبر,100 متر²,2,1
4084423,شقة للبيع في بيانكي عمارة جديدة تشطيب سوبر لوكس لم تسكن من قبل,"700,000",بيانكي، البيطاش,130 متر²,2,2
3822261,شقة دبلكس صف أول على البحر عمارة جديدة,"1,500,000",العجمي البحري، العجمي,190 متر²,7,2
3865157,البيطاش الرئيسي بجوار ابراهيم عثمان وأمام كافيتريا حسن,"1,200,000",شارع رقم 5، البيطاش,160 متر²,3,1
3865200,البيطاش الرئيسي امام كافيتريا حسن وعمر افندي,"1,200,000",شارع رقم 5، البيطاش,160 متر²,1,1
4086801,العجمي / الحديد و الصلب/ اخر شارع عبدالحميد رضوان,"200,000",أبو يوسف، العجمي,120 متر²,3,2
4086715,شقة 80 متر في شاطئ النخيل  - ب 320 ألف قابل للتفاوض و أوراقها جاهزة,"250,000",شارع 49 على 10 - شاطئ النخيل,80 متر²,2,1
4059524,للبيع - شقق 130 متر² اكسترا سوبر لوكس,"450,000",تانى نمره من شارع اسكندريه مطروح ابويوسف بجوار مسجد الرحمه,130 متر²,3,1
4000686,العجمي الهانوفيل متفرع من شارع رضوان,"220,000",العجمي البحري، العجمي,110 متر²,3,1
4010929,شقه للبيع ف البيطاش شارع الرياض,"1,200,000",شارع الرياض، البيطاش,150 متر²,3,2
3992732,اكتوبر النخيل شقة للبيع,"480,000",شارع أكتوبر النخيل، شاطئ النخيل - ٦ اكتوبر,180 متر²,2,2
3983088,شقة للبيع,"320,000",شارع ابو يوسف العجمى,85 متر²,2,1
3974991,فرصة لسرعة البيع  شقة في موقع متميز في ابو يوسف,"105,000",العجمى أبو يوسف امام مدرسة الاورمان ش الوان الساحل,78 متر²,2,1
3926088,العجمي ابو يوسف العماره في شارع اخره بحر والشقه شايفه البحر,"290,000",أبو يوسف، العجمي,100 متر²,7,1
4022224,الاسكندريه شقة للبيع,"220,000",شارع أكتوبر النخيل، شاطئ النخيل - ٦ اكتوبر,75 متر²,2,1
3855859,امتلك شقتك ف ارقي كمبوند في العجمي ابو يوسف الاسكندرية,"440,000",ابو يوسف,90 متر²,2,1
3968106,شارع المعلمين متفرع من شارع الحنفية زاجل مجم سكني الاندلس والحجاز,"250,000",شارع المعلمين متفرع من شارع الحنفية بيانكي البيطاش داخل مجمع سكني الاندلس والحجاز,60 متر²,1,1
3840425,شارع أبو يوسف- الروضة الخضراء -بجوار مدرسة نور الحياة الخاصة,"650,000",أبو يوسف، العجمي,120 متر²,3,2
3960611,شقه بهانوفيل العجمى امام قريه شهرزاد ١٧٠ متر صافى سوبر لوكس,"900,000",هانوفيل العجمى ،امام قريه شهرزاد ، وفيلا مفيد فوزى ،برج سندريلا,170 متر²,3,2
3955408,شقة لقطة للبيع بالعجمي ابو يوسف,"250,000",شارع الدكتور حنفي سليمان متفرع من شارع ريدنبكس بابو يوسف العجمي,120 متر²,2,1
3916520,للبيع علي البحر مباشرة بحي الصفا أول الساحل الشمالي بالأسكندريه,"220,000",شاطئ الصفا الكيلو 22 الاسكندريه أول طريق الساحل الشمالي,80 متر²,2,1
3869260,الهانوفيل شارع الجمعية,"200,000",العجمي البحري، العجمي,100 متر²,2,1
3941032,شقة 85 متر للبيع العجمى  ابو يوسف قريبة من البحر و القرية الخضراء,"250,000",العجمى ابو يوسف عند محطة نهاية اتوبيس الرمل  قريبة من النادى و البحر الشارع الرئيسى,85 متر²,2,1
3896371,المكس عماره الحلواني شقه للبيع,"600,000",العجمي البحري، العجمي,125 متر²,3,1
4026687,شارع الهدي متفرع من شارع الحنفية امام مشويات ميزو برج القاسم اعلي مكتبة المستقبل,"600,000",شارع الهدي متفرع من شارع الحنفية امام مشويات ميزو برج القاسم اعلي مكتبة المستقبل,120 متر²,3,1
3975962,فرصة للبيع,"330,000",شارع الفردوس آخر الحديد والصلب أبو يوسف,85 متر²,3,1
4024286,شقه ٢٠٠ متر بالاسكندريه بعفشها,"750,000",شارع السياحه,200 متر²,3,2
3983740,شقق للبيع فى بيانكي,"750,000",Bianchi، El Bitash,91 متر²,2,1
3832995,ستوديو للبيع غرفة وصالة بشاطئ النخيل شارع 10 داخل منتجع,"230,000",النخيل شارع 10,80 متر²,1,1
3881508,للبيع شقة بالروف خامس وسادس سطح بدون اسانسير مسجله في جمعيه القوات المسلحه بالقاهره ولا يوجد عليها اي مديونيات بها عداد كهرباء خ,"285,000",شارع رقم 4، شاطئ النخيل - ٦ اكتوبر,110 متر²,2,1
3881442,للبيع اشتري شقة بارقي مكان بالإسكندرية الكيلو21 قرية 6اكتوبر شاطئ النخيل العجمي تصلح للاستثمار اليومي والسكن الدائم,"265,000",شارع رقم 10، شاطئ النخيل - ٦ اكتوبر,95 متر²,2,1
3876342,شقه للبيع بمنتجع الوليد بالاسكندريه الكيلو 21 مدينه 6 اكتوبر شاطئ النخيل العجمي حمام سباحه كما يوجد لدينا وحدات اخرى تقسيط,"260,000",شارع رقم 10، شاطئ النخيل - ٦ اكتوبر,90 متر²,2,1
4077642,شقة الترا لوكس للبيع البيطاش الاسكندرية,"400,000",امتداد الرياض,90 متر²,2,1
4072061,اسكندرية/العجمي/بيطاش/بيانكي,"200,045",شارع المستشار متفرع من شارع الحنفية/بيانكي_ بيطاش_العجمي/ اسكندرية,85 متر²,2,1
4051567,فرصة شقه روووعه صف اول على البحر,"700,000",العجمي الهانوفيل منطقة الزهراء,105 متر²,3,1
3997989,شقة لؤطة قبل زيادة الاسعار,"1,100,000",الاسكندرية البيطاش شارع البيطاش الرئيسي امام صيدلية الزمالك وأعلى ويسترن يونيون,120 متر²,3,1
3855961,شقة أبويوسف شارع ريدمبيكس منتجع الواحة,"650,000",أبويوسف شارع ريدمبيكس منتجع الواحة,100 متر²,2,1
3921613,من المالك مباشر الاسكندريه العجمي البيطاش شهر العسل شارع السلام ٥دقائق من الرئيس,"550,000",الاسكندريه العجمي البيطاش شهر العسل شارع السلام,145 متر²,3,1
